sentence,course,program
"Historical and cultural contexts of canonical and non-canonical literature explored to illustrate 20th century Britain's reactions to the breakdown of traditional beliefs, the World Wars, the legacy of colonialism, the changing politics and problems of a multicultural nation.",ENGL-335,Liberal Studies
"May include such writers as Conrad, Joyce, Woolf, Yeats, Heaney, Ishiguro, Walcott.",ENGL-335,Liberal Studies
"Analysis and design tools for production planning and control of manufacturing systems, including mathematical modeling of operations and computer tools for simulation.",IME-342,Manufacturing Engineering
Decision-making models for manufacturing systems.,IME-342,Manufacturing Engineering
"Overview of material requirements planning, inventory models and analysis, and facilities design.",IME-342,Manufacturing Engineering
"Individual investigation, research, studies or surveys of selected problems.",ENGR-400,Marine Sciences
Advanced training in scientific methods associated with practical training in scuba diving.,MSCI-410,Marine Sciences
Satisfies American Academy of Underwater Sciences standards.,MSCI-410,Marine Sciences
"Combination of theory, techniques and scuba diving.",MSCI-410,Marine Sciences
Experience collecting data and handling scientific equipment underwater.,MSCI-410,Marine Sciences
AAUS certification will require additional assessments outside of class.,MSCI-410,Marine Sciences
"Interdisciplinary study of marine organisms, how they interact with each other and their physical, chemical and geological environment.",MSCI-301,Marine Sciences
"Emphasis on how these interactions impact abundance, diversity and temporal and spatial distributions.",MSCI-301,Marine Sciences
Introduction to techniques in oceanography and marine sciences.,MSCI-403,Marine Sciences
"Hands-on technical training in sampling, measuring, tagging and tracking of bathymetry and geography; waves, tides and currents; salinity, temperature and pressure; dissolved oxygen and pH; irradiance and light scattering; phytoplankton and zooplankton; and benthic fauna and marine macrofauna.",MSCI-403,Marine Sciences
Applications of biological research topics.,BIO-472,Marine Sciences
"Individual investigation, research, studies or surveys of selected problems.",BIO-200,Marine Sciences
Intended for lower division students in the Biological Sciences Department.,BIO-200,Marine Sciences
"Individual investigation, research, studies, or surveys of selected problems.",CHEM-400,Marine Sciences
"Individual investigation, research, studies, or surveys of selected problems.",ENVE-400,Marine Sciences
"Individual investigation, research, studies, or surveys of selected problems.",GEOL-200,Marine Sciences
"Individual investigations, research, studies, or surveys of selected problems.",PHYS-400,Marine Sciences
"Propagation and rearing of fishes, invertebrates and algae from marine, freshwater, and estuarine habitats.",MSCI-438,Marine Sciences
Current methodologies and general life histories.,MSCI-438,Marine Sciences
Global perspective including aquacultural development in developed and developing countries.,MSCI-438,Marine Sciences
Research under faculty supervision.,CHEM-201,Marine Sciences
"Introduction to Marine Sciences faculty, the Biology Department and campus resources, research opportunities, possible careers, studying science, and current topics in marine sciences.",MSCI-100,Marine Sciences
Design of structural materials systems.,MATE-350,Materials Engineering
"Topics include stress, strain, elasticity, anelasticity, plasticity, fracture and fatigue.",MATE-350,Materials Engineering
Continuation of senior project.,MATE-483,Materials Engineering
Completion of a senior project experimental component under the guidance of a faculty supervisor.,MATE-483,Materials Engineering
"Research methodology, experimental design, experimental work and data analysis.",MATE-483,Materials Engineering
"Nanotechnology basics, unique properties of nanomaterials, synthesis and characterization of nanomaterials from an environmental life-cycle perspective, environmental remediation using nanomaterials, environmental fate, transport, and toxicity of nanomaterials, sustainable nanotechnology, nanotechnology ethics and regulations, and careers in nanotechnology.",ENVE-490,Materials Engineering
Directed group study of selected topics for advanced students.,ENGR-470,Materials Engineering
"Focus on complete design process including project management, documentation in design, manufacturing techniques, and analysis of testing data.",MATE-120,Materials Engineering
